Lead Market Participant  Project Data,,,,,,,,,,
Resource Details,Internal Checklist ID,Resource ID,Name,Lead Participant,Proposal ID,Project Name,Project Type,Claimed Summer MW,Claimed Winter MW,FERC
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Developer - Renewable Resource State Subsidy Information,,,,,,,,,,
Substitution Auction,NEPOOL GIS Unit ID,Technology Type,RPS/CES/APS ID#,RPS/CES/APS MW,,,,,,
,#,Solar,SMANG_00318,4,,,,,,
Lead Market Participant Additional Data,,,,,,,,,,
Additional Requirements - Intermittent ,Document Date,Document Description Site Specific Data,File name,,,,,,,
,TBD,TBD,TBD,,,,,,,
,Document Date,Document Description - Claimed Capability Workbook,File name,,,,,,,
,n/a,n/a,n/a,,,,,,,
Additional Requirements for  Incremental Projects,Manufacturer,Model # /Identifier,Cost,,,,,,,
,n/a,n/a,n/a,,,,,,,
,n/a,n/a,n/a,,,,,,,
,n/a,n/a,n/a,,,,,,,
,n/a,n/a,n/a,,,,,,,
CPS - Other Supporting Documents,"Documentation Upload 
 + Fuel Survey",Document Description,,,,,,,,
,n/a,n/a,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
